Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
80,TIAA,12997,Financials,"Insurance: Life, Health (Mutual)",New York,Roger W. Ferguson Jr.,"President, Chief Executive Officer & Director",37105,5.5,1492.3,22.9,523194
81,Oracle,136000,Technology,Computer Software,Redwood City,"Safra A. Catz, Mark V. Hurd",Co-Chief Executive Officer & Director,37047,-3.1,8901,-10.4,112180
82,Tyson Foods,114000,"Food, Beverages & Tobacco",Food Production,Springdale,Thomas P. Hayes,"President, Chief Executive Officer & Director",36881,-10.9,1768,44.9,22373
83,United Continental Holdings,88000,Transportation,Airlines,Chicago,Oscar Munoz,Chief Executive Officer & Director,36556,-3.5,2263,-69.2,40140
84,Allstate,43275,Financials,Insurance: Property and Casualty (Stock),Northbrook,Thomas J. Wilson,Chairman & Chief Executive Officer,36534,2.5,1877,-13.5,108610
85,Publix Super Markets,191000,Food & Drug Stores,Food and Drug Stores,Lakeland,Randall T. Jones Sr.,"President, Chief Executive Officer & Director",34274,5.1,2025.7,3.1,17464
86,American Express,56400,Financials,Diversified Financials,New York,Kenneth I. Chenault,Chairman & Chief Executive Officer,33823,-1.8,5408,4.7,158893
87,TJX,235000,Retailing,Specialty Retailers: Apparel,Framingham,Ernie L. Herrman,"President, Chief Executive Officer & Director",33184,7.2,2298.2,0.9,12884
88,Nike,70700,Apparel,Apparel,Beaverton,Mark G. Parker,"Chairman, President & Chief Executive Officer",32376,5.8,3760,14.9,21396
89,Exelon,34396,Energy,Utilities: Gas and Electric,Chicago,Christopher M. Crane,"President, Chief Executive Officer & Director",31360,6.5,1134,-50,114904
90,General Dynamics,98800,Aerospace & Defense,Aerospace and Defense,Falls Church,Phebe N. Novakovic,Chairman & Chief Executive Officer,31353,-0.4,2955,-0.3,32872
91,Rite Aid,70580,Food & Drug Stores,Food and Drug Stores,Camp Hill,John T. Standley,Chairman & Chief Executive Officer,30737,15.9,165.5,-92.2,11277
92,Gilead Sciences,9000,Health Care,Pharmaceuticals,Foster City,John F. Milligan,"President, Chief Executive Officer & Director",30390,-6.9,13501,-25.4,56977
93,CHS,12157,"Food, Beverages & Tobacco",Food Production,Inver Grove Heights,Jay D. Debertin,"President, Chief Executive Officer & Director",30347,-12.2,424.2,-45.7,17318
94,3M,91584,Industrials,Miscellaneous,St. Paul,Inge G. Thulin,"Chairman, President & Chief Executive Officer",30109,-0.5,5050,4.5,32906
95,Time Warner,25000,Media,Entertainment,New York,Jeffrey L. Bewkes,Chairman & Chief Executive Officer,29318,4.3,3926,2.4,65966
96,Charter Communications,91500,Telecommunications,Telecommunications,Stamford,Thomas M. Rutledge,Chairman & Chief Executive Officer,29003,197.3,3522,2.4,149067
97,Northwestern Mutual,5646,Financials,"Insurance: Life, Health (Mutual)",Milwaukee,John E. Schlifske,Chairman & Chief Executive Officer,28799,2.4,818,0.4,250441
98,Facebook,17048,Technology,Internet Services and Retailing,Menlo Park,Mark Zuckerberg,Chairman & Chief Executive Officer,27638,54.2,10217,177,64961
99,Travelers Cos.,30900,Financials,Insurance: Property and Casualty (Stock),New York,Alan D. Schnitzer,Chief Executive Officer & Director,27625,3.1,3014,-12.4,100245
100,Capital One Financial,47300,Financials,Commercial Banks,McLean,Richard D. Fairbank,"Chairman, President & Chief Executive Officer",27519,9.6,3751,-7.4,357033
101,Twenty-First Century Fox,21500,Media,Entertainment,New York,James R. Murdoch,Chief Executive Officer & Director,27326,-5.7,2755,-66.8,48365
102,USAA,29943,Financials,Insurance: Property and Casualty (Stock),San Antonio,Stuart Parker,"President, Chief Executive Officer & Director",27131,11.4,1779.1,-21.7,147290
103,World Fuel Services,5000,Energy,Energy,Miami,Michael J. Kasbar,"Chairman, President & Chief Executive Officer",27016,-11.1,126.5,-27.5,5413
104,Philip Morris International,79500,"Food, Beverages & Tobacco",Tobacco,New York,Andre Calantzopoulos,Chief Executive Officer & Director,26685,-0.4,6967,1.4,36851
105,Deere,56767,Industrials,Construction and Farm Machinery,Moline,Samuel R. Allen,Chairman & Chief Executive Officer,26644,-7.7,1523.9,-21.4,57981
106,Kraft Heinz,41000,"Food, Beverages & Tobacco",Food Consumer Products,Pittsburgh,Bernardo Hees,Chief Executive Officer & Director,26487,44.4,3632,472.9,120480
